id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,time
419,0.625732,0.787354,0.160645,6.55488,0.518293,15.7622,1.45712E+12
420,0.65918,0.750977,0.160889,-3.07927,2.28659,20.6707,1.45712E+12
421,0.687012,0.693604,0.196045,-0.121951,5.2439,20.3659,1.45712E+12
422,0.729492,0.643799,0.183594,0.884146,6.52439,12.8659,1.45712E+12
423,0.758789,0.624023,0.177246,-0.182927,4.78659,10.2134,1.45712E+12
424,0.754395,0.656006,0.169434,6.21951,3.44512,13.0183,1.45712E+12
425,0.773193,0.561768,0.233154,-9.32927,6.18902,19.9085,1.45712E+12
426,0.820068,0.502686,0.214844,-1.25,4.7561,9.66463,1.45712E+12
427,0.815674,0.515137,0.231445,-2.92683,3.71951,6.06707,1.45712E+12
428,0.826416,0.489014,0.239014,3.65854,5.03049,4.05488,1.45712E+12
429,0.831787,0.508545,0.22168,4.78659,3.90244,1.52439,1.45712E+12
430,0.829346,0.512451,0.272217,1.18902,3.78049,3.41463,1.45712E+12
431,0.836182,0.452393,0.252441,-0.518293,0.70122,1.0061,1.45712E+12
432,0.831055,0.487793,0.282715,-3.62805,1.37195,0.914634,1.45712E+12
433,0.839355,0.45874,0.260498,-1.34146,-0.426829,-2.53049,1.45712E+12
434,0.837891,0.484375,0.249023,-1.31098,-0.457317,-0.121951,1.45712E+12
435,0.848877,0.437256,0.229492,-4.08537,-1.31098,-2.68293,1.45712E+12
436,0.832031,0.458252,0.230225,2.0122,0.548781,-1.37195,1.45712E+12
437,0.8396,0.501709,0.2229,5.64024,-0.182927,-4.05488,1.45712E+12
438,0.836182,0.498047,0.234131,4.42073,0.97561,-0.457317,1.45712E+12
439,0.835693,0.467529,0.216064,1.70732,0.640244,-1.98171,1.45712E+12
440,0.811768,0.45874,0.267334,1.03659,-3.90244,-16.8293,1.45712E+12
441,0.779541,0.505615,0.217285,0.243902,-8.78049,-31.8293,1.45712E+12
442,0.712402,0.64209,0.200439,8.59756,-11.6463,-40.0305,1.45712E+12
443,0.643799,0.770996,0.142822,4.2378,-9.20732,-39.6037,1.45712E+12
444,0.606689,0.799072,0.170166,7.22561,0.152439,-28.9634,1.45712E+12
445,0.566162,0.83374,0.127197,-2.37805,1.37195,-20.4573,1.45712E+12
446,0.519287,0.885742,0.138672,1.76829,0.304878,-14.2378,1.45712E+12
447,0.505615,0.831543,0.160645,1.4939,0.518293,-5.82317,1.45712E+12
448,0.507568,0.899658,0.125488,0.457317,0.243902,-1.67683,1.45712E+12
449,0.505127,0.862549,0.138916,0.152439,0.609756,1.31098,1.45712E+12
450,0.506836,0.854492,0.14209,-0.396341,0.792683,0.609756,1.45712E+12
451,0.510742,0.8479,0.137939,-0.304878,0.548781,3.90244,1.45712E+12
452,0.532471,0.840332,0.149902,-2.04268,1.85976,1.43293,1.45712E+12
453,0.531006,0.829102,0.156006,-1.37195,0.97561,1.46341,1.45712E+12
454,0.534424,0.818359,0.146484,-0.0609756,1.52439,0.670732,1.45712E+12
455,0.534424,0.825195,0.140381,-0.640244,0.518293,-0.335366,1.45712E+12
456,0.530273,0.839111,0.163818,0.640244,1.09756,-1.25,1.45712E+12
457,0.531006,0.834229,0.145508,1.67683,0.487805,0,1.45712E+12
458,0.540771,0.813232,0.155762,-1.25,0.823171,0.792683,1.45712E+12
459,0.541992,0.831787,0.172119,-0.518293,1.25,-0.487805,1.45712E+12
460,0.535645,0.823242,0.15332,0.457317,1.21951,0.396341,1.45712E+12
461,0.544189,0.814453,0.155518,-0.670732,0.731707,0.579268,1.45712E+12
462,0.540283,0.825684,0.166016,-0.579268,0.487805,0.152439,1.45712E+12
463,0.550049,0.831787,0.151855,2.46951,1.06707,-1.52439,1.45712E+12
